cipher_id,openssl,gnutls,standard
"0x00,0xaa",-,TLS_DHE_PSK_AES_128_GCM_SHA256,-
"0x00,0xb4",-,TLS_DHE_PSK_NULL_SHA256,-
"0x00,0xa9",-,TLS_PSK_WITH_AES_256_GCM_SHA384,-
"0x00,0xab",-,TLS_DHE_PSK_WITH_AES_256_GCM_SHA384,-
"0x00,0x18",ADH-RC4-MD5,TLS_DH_ANON_ARCFOUR_MD5,TLS_DH_anon_WITH_RC4_128_MD5
"0x00,0x1b",-,TLS_DH_ANON_3DES_EDE_CBC_SHA1,-
"0x00,0x34",ADH-AES128-SHA,TLS_DH_ANON_AES_128_CBC_SHA1,TLS_DH_anon_WITH_AES_128_CBC_SHA
"0x00,0x3a",-,TLS_DH_ANON_AES_256_CBC_SHA1,-
"0x00,0x46",ADH-CAMELLIA128-SHA,TLS_DH_ANON_CAMELLIA_128_CBC_SHA1,TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA
"0x00,0x89",ADH-CAMELLIA256-SHA,TLS_DH_ANON_CAMELLIA_256_CBC_SHA1,TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA
"0x00,0x6c",-,TLS_DH_ANON_AES_128_CBC_SHA256,-
"0x00,0x6d",-,TLS_DH_ANON_AES_256_CBC_SHA256,-
"0x00,0xa6",-,TLS_DH_ANON_AES_128_GCM_SHA256,-
"0xc0,0x15",-,TLS_ECDH_ANON_NULL_SHA1,-
"0xc0,0x17",-,TLS_ECDH_ANON_3DES_EDE_CBC_SHA1,-
"0xc0,0x18",-,TLS_ECDH_ANON_AES_128_CBC_SHA1,-
"0xc0,0x19",-,TLS_ECDH_ANON_AES_256_CBC_SHA1,-
"0xc0,0x16",-,TLS_ECDH_ANON_ARCFOUR_128_SHA1,-
"0xc0,0x1a",-,TLS_SRP_SHA_3DES_EDE_CBC_SHA1,-
"0xc0,0x1d",-,TLS_SRP_SHA_AES_128_CBC_SHA1,-
"0xc0,0x20",-,TLS_SRP_SHA_AES_256_CBC_SHA1,-
